,Title,Type,Year,Engine Size,Hand,Date Added,Price
262,MV Agusta Sterabale 800 ,שיבכ/טרופס,2016,800,1,29/10/2019,None
263,ההאמי V-Max 1700 ,שיבכ/טרופס,2014,"1,800",4,29/10/2019,None
264,הדנוה VT750C ודאש ,םוטסק,2018,750,1,29/10/2019,"69,000₪"
265,ינימ קייב CRZ ,סורקוטומ,2019,70,1,29/10/2019,"9,900₪"
266,מ.ט.ק רפוס ר'צנוודא 1290 ,ישומישוד,2017,"1,200",2,29/10/2019,"88,000₪"
267,יקאסאוואק רחא ,שיבכ/טרופס,2019,900,1,29/10/2019,None
268,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2016,250,3,29/10/2019,"15,000₪"
269,ההאמי MT 07 ,שיבכ/טרופס,2015,700,6,29/10/2019,None
270,הדנוה VFR1200X ,ישומישוד,2015,"1,200",3,29/10/2019,"72,000₪"
271,ההאמי MT 09 ,שיבכ/טרופס,2019,900,1,29/10/2019,None
272,יקאסאוואק ZX-636R/6R ,שיבכ/טרופס,2019,600,0,29/10/2019,"89,985₪"
273,יקאסאוואק ה'גנינ 400 ,שיבכ/טרופס,2019,400,0,29/10/2019,"42,985₪"
274,ההאמי MT-07 TRACER ,ישומישוד,2018,700,1,29/10/2019,"46,000₪"
275,יקוזוס DL1000 םורטס-יו ,ישומישוד,2016,"1,000",2,29/10/2019,"51,000₪"
276,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"62,985₪"
277,יקאסאוואק Vulcan S ,םוטסק,2019,650,1,29/10/2019,"51,999₪"
278,הדנוה CBR500R ,שיבכ/טרופס,2019,500,1,29/10/2019,"45,000₪"
279,ינימ קייב יללכ ,סורקוטומ,2019,100,0,29/10/2019,"7,000₪"
280,יקוזוס המוזניא 250 ,שיבכ/טרופס,2016,250,3,28/10/2019,"17,000₪"
281,יקאסאוואק Versys 650 ,ישומישוד,2018,650,2,28/10/2019,"39,500₪"
282,יקאסאוואק Versys 650 ,ישומישוד,2011,650,1,28/10/2019,"24,000₪"
283,הדנוה NC700X ,שיבכ/טרופס,2012,700,5,28/10/2019,"21,000₪"
284,יקוזוס DRZ400S ,ישומישוד,2017,400,1,28/10/2019,"31,277₪"
285,ההאמי WR250R ,ישומישוד,2017,250,2,28/10/2019,"26,800₪"
286,ההאמי YZF-R125 ,שיבכ/טרופס,2017,125,2,28/10/2019,"16,900₪"
287,יקוזוס םורטס-יו 250 ,שיבכ/טרופס,2019,250,1,28/10/2019,"23,000₪"
288,וו.מ.ב S1000R ,שיבכ/טרופס,2017,"1,000",2,28/10/2019,"75,000₪"
289,יאוויק TX125 ,ישומישוד,2018,125,1,28/10/2019,"8,700₪"
290,ההאמי XT125X ,שיבכ/טרופס,2007,125,5,28/10/2019,"8,500₪"
291,ההאמי MT 07 ,שיבכ/טרופס,2017,700,2,28/10/2019,"45,000₪"
292,וקרש SE-F300iR ,סורקוטומ,2017,300,2,28/10/2019,"37,000₪"
293,הדנוה VT1100C ,םוטסק,1986,"1,100",2,28/10/2019,"41,000₪"
294,יקאסאוואק VN900 קיסאלק ,םוטסק,2017,900,1,28/10/2019,"60,000₪"
295,ההאמי XT1200Z רפוס הרנט ,ישומישוד,2013,"1,200",2,28/10/2019,"29,500₪"
296,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,2,28/10/2019,None
297,ההאמי YZ ,סורקוטומ,2018,450,2,28/10/2019,"32,000₪"
298,ההאמי WR400/426/450F ,ישומישוד,2009,450,6,28/10/2019,"19,000₪"
299,יקוזוס RM ,סורקוטומ,2016,250,2,28/10/2019,"23,000₪"
300,מ.ט.ק קויד-רפוס 1290GT ,שיבכ/טרופס,2017,"1,250",2,29/10/2019,None
301,הדנוה CBR650F ,שיבכ/טרופס,2015,650,3,29/10/2019,"33,500₪"
302,ילרה ןוסדיוויד רטסטרופס 883 ,םוטסק,2016,880,1,29/10/2019,"58,000₪"
303,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2012,250,5,29/10/2019,"10,000₪"
304,ההאמי MT 09 ,שיבכ/טרופס,2019,900,1,29/10/2019,None
305,יקוזוס GSX-R1000 ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,None
306,יקאסאוואק NINJA 650 ,שיבכ/טרופס,2019,650,1,29/10/2019,"41,000₪"
307,הדנוה CRF250M ,ישומישוד,2014,250,1,29/10/2019,"17,500₪"
308,אטב RR 125 ,ישומישוד,2019,125,1,29/10/2019,"40,000₪"
309,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2017,"1,000",3,29/10/2019,None
310,יקוזוס GSX-R1000 ,שיבכ/טרופס,2018,"1,000",2,29/10/2019,"98,000₪"
311,מ.ט.ק EXC-F 350 ,ישומישוד,2017,350,2,29/10/2019,"45,000₪"
312,ההאמי MT-07 TRACER ,שיבכ/טרופס,2017,700,1,29/10/2019,"39,000₪"
313,ההאמי YZF-R3 ,שיבכ/טרופס,2019,300,1,29/10/2019,"32,900₪"
314,הדנוה CB500F ,שיבכ/טרופס,2015,500,1,29/10/2019,"24,000₪"
315,גנאסוי GV250 הליקא ,םוטסק,2013,250,2,29/10/2019,"8,500₪"
316,וו.מ.ב R1200GS ,ישומישוד,2018,"1,200",1,29/10/2019,"100,000₪"
317,ההאמי XVS 950 ,םוטסק,2019,900,1,29/10/2019,None
318,ההאמי MT 09 TRACER ,שיבכ/טרופס,2018,900,1,29/10/2019,"59,900₪"
319,יקוזוס GSR750 ,שיבכ/טרופס,2011,750,4,29/10/2019,"21,900₪"
320,AJP PR3 200 Enduro Pro ,ישומישוד,2014,200,3,28/10/2019,"10,500₪"
321,מ.ט.ק ר'צנוודא 1290R ,ישומישוד,2018,"1,300",1,28/10/2019,"109,000₪"
322,ההאמי MT 09 ,שיבכ/טרופס,2017,900,2,28/10/2019,"52,000₪"
323,מ.ט.ק EXC 450 ירוטקפ ,ישומישוד,2015,450,2,28/10/2019,"41,000₪"
324,מ.ט.ק קויד 125 ,שיבכ/טרופס,2018,125,1,28/10/2019,"17,000₪"
325,ילרה ןוסדיוויד רטסטרופס 883C ,םוטסק,2015,880,2,28/10/2019,"50,000₪"
326,וו.מ.ב רחא ,שיבכ/טרופס,1978,"1,000",5,28/10/2019,"40,000₪"
327,מ.ט.ק קויד 200 ,שיבכ/טרופס,2017,200,4,28/10/2019,"13,200₪"
328,מ.ט.ק EXC 125 ,ישומישוד,2015,125,3,28/10/2019,"24,800₪"
329,יקוזוס GSX-R1100 ,ישומישוד,1981,"1,100",3,28/10/2019,None
330,הדנוה CRF250R ,סורקוטומ,2014,250,2,28/10/2019,None
331,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2018,"1,200",1,28/10/2019,"137,000₪"
332,וו.מ.ב R1200RT ,שיבכ/טרופס,2007,"1,200",4,28/10/2019,"35,000₪"
333,הנרווקסוה TE310 ,ישומישוד,2013,300,5,28/10/2019,"12,500₪"
334,ינימ קייב יללכ ,סורקוטומ,2018,150,1,28/10/2019,"8,500₪"
335,הילירפא רחא ,שיבכ/טרופס,2015,"1,200",3,28/10/2019,"58,000₪"
336,ההאמי MT-03 ,שיבכ/טרופס,2018,300,1,28/10/2019,"26,500₪"
337,ההאמי MT 09 SR ,שיבכ/טרופס,2019,900,1,28/10/2019,"75,000₪"
338,ההאמי BT1100 גודלוב ,שיבכ/טרופס,2002,"1,100",3,28/10/2019,None
339,מ.ט.ק 400 SC/SXC ,ישומישוד,2017,450,1,28/10/2019,"37,000₪"
340,יקוזוס DL650A םורטס-יו ,ישומישוד,2018,650,1,29/10/2019,"49,000₪"
341,יקאסאוואק ZX-636R/6R ,שיבכ/טרופס,2019,600,1,29/10/2019,None
342,ההאמי XSR900 ,שיבכ/טרופס,2019,900,1,29/10/2019,None
343,הדנוה VFR1200X ,ישומישוד,2012,"1,200",5,29/10/2019,"47,000₪"
344,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,None
345,מ.ט.ק ר'צנוודא 1190R ,ישומישוד,2015,"1,200",1,29/10/2019,"70,000₪"
346,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"59,985₪"
347,יקאסאוואק Z400 ,שיבכ/טרופס,2019,400,0,29/10/2019,"38,985₪"
348,יקאסאוואק Z1000SX ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,"84,985₪"
349,מ.ט.ק ר'צנוודא 1090 ,ישומישוד,2018,"1,100",2,29/10/2019,None
350,ההאמי YZF-R125 ,שיבכ/טרופס,2019,125,0,29/10/2019,"26,985₪"
351,יקאסאוואק רחא ,ישומישוד,2016,450,2,29/10/2019,"25,000₪"
352,ההאמי YZ ,סורקוטומ,2019,450,1,29/10/2019,"39,000₪"
353,הדנוה NC750X ,ישומישוד,2019,750,1,29/10/2019,"58,500₪"
354,ההאמי MT 07 ,שיבכ/טרופס,2019,700,1,29/10/2019,"45,000₪"
355,מ.ט.ק ר'צנוודא 1190R ,ישומישוד,2017,"1,200",3,29/10/2019,"83,000₪"
356,הדנוה CBR500R ,שיבכ/טרופס,2017,500,1,29/10/2019,"32,000₪"
357,ההאמי XT660Z הרנט ,ישומישוד,2017,700,1,29/10/2019,"42,500₪"
358,ההאמי YZF-R125 ,שיבכ/טרופס,2019,125,1,29/10/2019,"20,000₪"
359,ההאמי WR400/426/450F ,ישומישוד,2019,450,2,29/10/2019,None
360,מ.ט.ק EXC 125 ,ישומישוד,2014,125,3,28/10/2019,"20,000₪"
361,ילרה ןוסדיוויד רחא ,ישומישוד,2017,"1,200",1,28/10/2019,"75,000₪"
362,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2017,"1,000",2,28/10/2019,"57,000₪"
363,ילרה ןוסדיוויד רטסטרופס 883C ,םוטסק,2007,880,3,28/10/2019,"29,000₪"
364,יקאסאוואק ה'גנינ 300 ,שיבכ/טרופס,2017,300,1,28/10/2019,"23,000₪"
365,הדנוה CBR500R ,שיבכ/טרופס,2016,500,5,28/10/2019,"28,000₪"
366,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2012,"1,000",4,28/10/2019,"40,000₪"
367,יקאסאוואק KLE500 ,ישומישוד,2004,500,4,28/10/2019,"14,000₪"
368,הדנוה CB1000R ,שיבכ/טרופס,2015,"1,000",3,28/10/2019,"49,500₪"
369,יקאסאוואק ZX-7R ,שיבכ/טרופס,1998,750,7,28/10/2019,"29,000₪"
370,סאג-סאג EC250 ,ישומישוד,2014,250,3,28/10/2019,"16,000₪"
371,ההאמי MT 09 SR ,שיבכ/טרופס,2019,900,1,28/10/2019,"73,900₪"
372,מ.ט.ק RC390 ,שיבכ/טרופס,2015,400,6,28/10/2019,"17,000₪"
373,הדנוה CBR500R ,שיבכ/טרופס,2017,500,2,28/10/2019,"34,500₪"
374,ינימ קייב יללכ ,סורקוטומ,2018,125,1,28/10/2019,"5,500₪"
375,יקאסאוואק ה'גנינ 300 ,שיבכ/טרופס,2015,300,2,28/10/2019,"19,000₪"
376,יקוזוס DRZ400S ,שיבכ/טרופס,2016,400,2,28/10/2019,"24,000₪"
377,וו.מ.ב K1600GT ,שיבכ/טרופס,2016,"1,500",2,28/10/2019,None
378,יקאסאוואק Versys 650 ,ישומישוד,2008,650,5,28/10/2019,"9,999₪"
379,יקאסאוואק VN900 קיסאלק ,םוטסק,2017,900,1,28/10/2019,"55,000₪"
380,ההאמי MT 09 ,שיבכ/טרופס,2018,900,2,29/10/2019,None
381,ההאמי YZ ,סורקוטומ,2018,250,1,29/10/2019,"28,000₪"
382,יקוזוס DL1000 םורטס-יו ,ישומישוד,2015,"1,000",1,29/10/2019,"42,999₪"
383,ההאמי MT-07 TRACER ,שיבכ/טרופס,2019,700,0,29/10/2019,"54,985₪"
384,הדנוה CB125R ,שיבכ/טרופס,2018,125,1,29/10/2019,"18,000₪"
385,הנרווקסוה רחא ,שיבכ/טרופס,2017,700,2,29/10/2019,"40,000₪"
386,יקוזוס DL650 םורטס-יו ,ישומישוד,2018,650,1,29/10/2019,"52,000₪"
387,יקאסאוואק Versys 1000 ,ישומישוד,2016,"1,000",2,29/10/2019,"55,000₪"
388,ההאמי YZ ,סורקוטומ,2019,70,0,29/10/2019,"22,000₪"
389,יקאסאוואק Z650 abs ,שיבכ/טרופס,2019,650,1,29/10/2019,None
390,הדנוה CB500X ,ישומישוד,2016,500,1,29/10/2019,"23,000₪"
391,ההאמי XSR700 ,שיבכ/טרופס,2019,700,1,29/10/2019,"51,000₪"
392,וו.מ.ב F650GS ,ישומישוד,2001,650,6,29/10/2019,"7,999₪"
393,יקוזוס DL650 םורטס-יו ,ישומישוד,2018,650,1,29/10/2019,"50,000₪"
394,ההאמי MT 09 ,שיבכ/טרופס,2014,900,4,29/10/2019,"29,900₪"
395,יקאסאוואק W800 ,םוטסק,2019,800,1,29/10/2019,None
396,מ.ט.ק קויד 390 ,שיבכ/טרופס,2017,400,1,29/10/2019,"21,000₪"
397,מ.ט.ק קויד 690 ,שיבכ/טרופס,2007,700,6,29/10/2019,"13,999₪"
398,ההאמי MT-07 TRACER ,שיבכ/טרופס,2018,700,2,29/10/2019,None
399,הדנוה CB500F ,שיבכ/טרופס,2017,500,4,29/10/2019,"25,999₪"
400,מ.ט.ק קויד 200 ,ישומישוד,2016,200,2,28/10/2019,"12,500₪"
401,יקוזוס DL650 םורטס-יו ,ישומישוד,2015,650,2,28/10/2019,"37,003₪"
402,יקוזוס רחא ,שיבכ/טרופס,2017,250,2,28/10/2019,"19,500₪"
403,סאג-סאג TXT ,סורקוטומ,2018,250,2,28/10/2019,"31,000₪"
404,הדנוה CBR250R ,שיבכ/טרופס,2013,250,3,28/10/2019,"12,000₪"
405,יקאסאוואק ER-5 ,שיבכ/טרופס,2003,500,7,28/10/2019,None
406,מ.ט.ק קויד 390 ,שיבכ/טרופס,2018,400,1,28/10/2019,"24,000₪"
407,יקוזוס DRZ400SM ,שיבכ/טרופס,2009,400,5,28/10/2019,"23,000₪"
408,ההאמי XSR700 ,שיבכ/טרופס,2018,700,1,28/10/2019,"50,000₪"
409,יצוגוטומ רחא ,םוטסק,2017,850,1,28/10/2019,"49,000₪"
410,מ.ט.ק קויד 790 ,שיבכ/טרופס,2018,800,2,28/10/2019,"57,000₪"
411,הנרווקסוה TE350 ,ישומישוד,2014,350,2,28/10/2019,"28,900₪"
412,יקאסאוואק Versys 650 ,ישומישוד,2010,650,4,28/10/2019,"13,000₪"
413,הדנוה VTX1800C ,סורקוטומ,2006,"1,800",3,28/10/2019,"100,000₪"
414,ןאס גנאי ףלוו SB250Ni ,שיבכ/טרופס,2014,250,1,28/10/2019,"8,000₪"
415,יקוזוס DRZ400S ,ישומישוד,2009,400,5,28/10/2019,"19,000₪"
416,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2016,"1,200",2,28/10/2019,"105,000₪"
417,יקוזוס םורטס-יו 250 ,ישומישוד,2018,250,2,28/10/2019,"24,500₪"
418,הדנוה CB500X ,ישומישוד,2015,500,4,28/10/2019,"26,000₪"
419,ההאמי FZ1 רזייפ ,שיבכ/טרופס,2013,"1,000",3,28/10/2019,"41,000₪"
420,יקאסאוואק KLE500 ,ישומישוד,2007,500,3,29/10/2019,"11,500₪"
421,ההאמי MT 09 ,שיבכ/טרופס,2018,850,3,29/10/2019,None
422,יקוזוס DL650A םורטס-יו ,ישומישוד,2015,650,1,29/10/2019,"37,000₪"
423,יקוזוס םורטס-יו 250 ,ישומישוד,2018,250,3,29/10/2019,"19,000₪"
424,יקאסאוואק ה'גנינ 250R ,שיבכ/טרופס,2012,250,7,29/10/2019,"10,000₪"
425,קיטנאפ Enduro S/M 4T Casa ,ישומישוד,2017,250,1,29/10/2019,"24,900₪"
426,וקרש SE-300R ,ישומישוד,2016,300,1,29/10/2019,"43,400₪"
427,הדנוה NC750X ,ישומישוד,2014,750,4,29/10/2019,None
428,יקאסאוואק GPZ500 ,שיבכ/טרופס,2002,500,1,29/10/2019,"14,000₪"
429,יקאסאוואק Versys 650 ,ישומישוד,2008,650,4,29/10/2019,"9,995₪"
430,הדנוה GL1800 גניוו-דלוג ,םוטסק,2018,"1,800",1,29/10/2019,None
431,מ.ט.ק 250 EXC-F ,ישומישוד,2017,250,2,29/10/2019,"43,000₪"
432,יקאסאוואק KX ,ישומישוד,2016,450,2,29/10/2019,None
433,מ.ט.ק קויד 390 ,שיבכ/טרופס,2019,400,1,29/10/2019,None
434,יקאסאוואק GPZ500 ,שיבכ/טרופס,1998,500,3,29/10/2019,"7,900₪"
435,יקאסאוואק ZX-10R Ninja ,סורקוטומ,2014,"1,000",1,29/10/2019,None
436,מ.ט.ק EXC 200 ,סורקוטומ,2010,200,2,29/10/2019,"19,000₪"
437,ההאמי XT1200Z רפוס הרנט ,ישומישוד,2013,"1,200",1,29/10/2019,"26,000₪"
438,וו.מ.ב F650GS ,ישומישוד,2011,650,1,29/10/2019,"16,000₪"
439,יטאקוד הלאגינפ 1199 S ,שיבכ/טרופס,2012,"1,200",3,29/10/2019,None
440,הדנוה CBR250R ,ישומישוד,2011,250,7,28/10/2019,"8,000₪"
441,הדנוה GL1800 גניוו-דלוג ,םוטסק,1976,"1,000",3,28/10/2019,"22,000₪"
442,ההאמי MT 07 ,שיבכ/טרופס,2018,700,1,28/10/2019,"50,000₪"
443,הדנוה פלאסנרט 650 ,ישומישוד,2001,650,5,28/10/2019,"9,000₪"
444,םילאיד Roadwin 250 ,שיבכ/טרופס,2014,250,3,28/10/2019,"8,500₪"
445,יקוזוס DRZ400S ,ישומישוד,2008,400,8,28/10/2019,"16,500₪"
446,יטאקוד הדרטסיטלומ 1200S ,ישומישוד,2012,"1,200",3,28/10/2019,"58,000₪"
447,ההאמי YZF-R125 ,שיבכ/טרופס,2017,125,1,28/10/2019,"17,500₪"
448,יקוזוס DR650R/RE/SE ,ישומישוד,2017,650,1,28/10/2019,"26,000₪"
449,יקוזוס DR650R/RE/SE ,ישומישוד,1999,650,7,28/10/2019,None
450,הדנוה CB500X ,ישומישוד,2016,500,3,28/10/2019,"29,000₪"
451,מ.ט.ק 250 EXC-F ,ישומישוד,2017,250,2,28/10/2019,None
452,הדנוה CBF1000 ,שיבכ/טרופס,2009,"1,000",4,28/10/2019,"27,000₪"
453,פמוטס Z2-140-R ,סורקוטומ,2015,150,2,28/10/2019,"7,500₪"
454,סאג-סאג EC125 ,ישומישוד,2015,125,4,28/10/2019,"17,500₪"
455,יקאסאוואק Z800R ,שיבכ/טרופס,2015,800,6,28/10/2019,"34,000₪"
456,הדנוה CB500F ,שיבכ/טרופס,2017,500,3,28/10/2019,"31,500₪"
457,ההאמי YZF-R1 ,שיבכ/טרופס,2006,"1,000",1,28/10/2019,"54,900₪"
458,יאוויק RKS 125 ,שיבכ/טרופס,2018,125,2,28/10/2019,"6,600₪"
459,ההאמי MT 09 ,שיבכ/טרופס,2017,900,6,28/10/2019,"42,000₪"
460,הילירפא ורודוסרוד 750 ,שיבכ/טרופס,2018,900,2,29/10/2019,"53,500₪"
461,ההאמי MT-10 ,שיבכ/טרופס,2018,"1,000",1,29/10/2019,"86,000₪"
462,יקוזוס DR650R/RE/SE ,ישומישוד,2017,650,2,29/10/2019,"26,500₪"
463,יקאסאוואק Z650 abs ,שיבכ/טרופס,2019,650,1,29/10/2019,"44,985₪"
464,יקוזוס DL1000 םורטס-יו ,ישומישוד,2006,"1,000",4,29/10/2019,None
465,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,1,29/10/2019,"54,000₪"
466,יטאקוד הלאגינפ V4 ,שיבכ/טרופס,2018,"1,100",1,29/10/2019,None
467,ההאמי YZF-R6R ,סורקוטומ,2006,600,1,29/10/2019,None
468,מ.ט.ק קויד 250 ,שיבכ/טרופס,2018,250,1,29/10/2019,"20,500₪"
469,יקוזוס DL650 םורטס-יו ,ישומישוד,2008,650,3,29/10/2019,"15,000₪"
470,ההאמי YZF-R1 ,שיבכ/טרופס,2018,"1,000",3,29/10/2019,None
471,מ.ט.ק קויד 125 ,שיבכ/טרופס,2019,125,1,29/10/2019,"21,000₪"
472,יקאסאוואק Z650 abs ,שיבכ/טרופס,2019,650,0,29/10/2019,"44,985₪"
473,יקאסאוואק Z400 ,שיבכ/טרופס,2019,400,0,29/10/2019,"38,985₪"
474,ההאמי YZF-R3 ,שיבכ/טרופס,2019,300,0,29/10/2019,"37,985₪"
475,יקאסאוואק Versys 650 ,שיבכ/טרופס,2019,650,0,29/10/2019,"53,485₪"
476,ההאמי MT 09 ,שיבכ/טרופס,2019,850,0,29/10/2019,"69,985₪"
477,וו.מ.ב R1200GS ,ישומישוד,2011,"1,200",1,29/10/2019,"39,000₪"
478,הדנוה CBF1000 ,שיבכ/טרופס,2015,"1,000",2,29/10/2019,"55,500₪"
479,הנרווקסוה VITPILEN 401 ,שיבכ/טרופס,2018,700,1,29/10/2019,"55,500₪"
480,יטאקוד לבאיד ןוברק ,שיבכ/טרופס,2011,"1,200",3,28/10/2019,None
481,הדנוה CBR600RR ,שיבכ/טרופס,2007,600,9,28/10/2019,"35,000₪"
482,מ.ט.ק קויד 390 ,שיבכ/טרופס,2013,400,6,28/10/2019,"9,500₪"
483,מ.ט.ק LC8-990 ,ישומישוד,2010,"1,000",5,28/10/2019,"43,000₪"
484,ההאמי MT 09 ,שיבכ/טרופס,2016,850,3,28/10/2019,"42,000₪"
485,יקאסאוואק Z1000SX ,שיבכ/טרופס,2014,"1,000",3,28/10/2019,None
486,יקוזוס DRZ400S ,ישומישוד,2016,400,3,28/10/2019,"27,000₪"
487,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2015,"1,000",1,28/10/2019,"52,000₪"
488,ההאמי X-MAX 250 MOMO ,ישומישוד,2010,250,3,28/10/2019,"9,500₪"
489,מ.ט.ק קויד-רפוס 1290R ,שיבכ/טרופס,2014,"1,300",3,28/10/2019,None
490,גנאסוי GT650 טמוק ,שיבכ/טרופס,2014,650,1,28/10/2019,"19,000₪"
491,הדנוה CRF250R ,סורקוטומ,2015,250,5,28/10/2019,"17,000₪"
492,ההאמי WR125X ,ישומישוד,2010,125,6,28/10/2019,"8,000₪"
493,הדנוה CB500F ,שיבכ/טרופס,2015,500,3,28/10/2019,"24,500₪"
494,יקוזוס DRZ400S ,ישומישוד,2009,400,2,28/10/2019,"25,000₪"
495,יקאסאוואק EN500 ,םוטסק,2001,500,5,28/10/2019,"16,000₪"
496,HM CRE 125R ,ישומישוד,2013,125,4,28/10/2019,"10,800₪"
497,TM Racing EN 125 ,ישומישוד,2013,125,2,28/10/2019,"18,000₪"
498,"וו.מ.ב R1200GS ר""צנוודא ",ישומישוד,2018,"1,200",1,28/10/2019,"155,000₪"
499,ההאמי MT 07 ,שיבכ/טרופס,2017,700,2,28/10/2019,"39,000₪"
500,יקאסאוואק KLX250S ,ישומישוד,2016,250,1,29/10/2019,"19,800₪"
501,וו.מ.ב R1200RS ,שיבכ/טרופס,2016,"1,200",3,29/10/2019,"80,000₪"
502,MV Agusta F3 675 ,שיבכ/טרופס,2018,700,1,29/10/2019,None
503,הדנוה CB650F ,שיבכ/טרופס,2017,650,2,29/10/2019,"39,500₪"
504,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,"84,985₪"
505,יקוזוס C800 רדורטניא ,םוטסק,2019,"1,800",0,29/10/2019,None
506,יקוזוס GSX-R1000 ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,None
507,וו.מ.ב G650XChallenge ,ישומישוד,2007,650,3,29/10/2019,"24,000₪"
508,ההאמי MT-07 TRACER ,שיבכ/טרופס,2018,700,1,29/10/2019,"45,000₪"
509,ההאמי MT-10 ,שיבכ/טרופס,2018,"1,000",2,29/10/2019,"83,000₪"
510,ההאמי MT 09 ,שיבכ/טרופס,2018,900,1,29/10/2019,"86,000₪"
511,יקאסאוואק רחא ,שיבכ/טרופס,2019,125,0,29/10/2019,"19,985₪"
512,יקאסאוואק Versys-X 300 ,ישומישוד,2019,300,0,29/10/2019,"30,985₪"
513,יקאסאוואק ZX-6R ,שיבכ/טרופס,2005,600,6,29/10/2019,None
514,יקאסאוואק Z650 ,שיבכ/טרופס,2019,650,0,29/10/2019,"44,985₪"
515,יקוזוס DL650 םורטס-יו ,שיבכ/טרופס,2017,650,1,29/10/2019,"45,000₪"
516,אטב רניירטסקיא 250 ,ישומישוד,2019,250,0,29/10/2019,"43,395₪"
517,רחא יללכ ,סורקוטומ,2019,50,0,29/10/2019,"6,485₪"
518,ההאמי YZF-R6R ,שיבכ/טרופס,2019,600,0,29/10/2019,None
519,הדנוה CBR600RR ,שיבכ/טרופס,2009,600,9,29/10/2019,None
520,וו.מ.ב F800GS ,ישומישוד,2017,800,3,28/10/2019,"71,000₪"
521,לאיור דליפנא טלוב קיסאלק ,ישומישוד,2010,500,3,28/10/2019,"18,000₪"
522,מ.ט.ק קויד 125 ,שיבכ/טרופס,2018,125,1,28/10/2019,"17,500₪"
